,UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
6895,235237001,Pierce College at Fort Steilacoom,Pierce College Fort Steilacoom,WA,"Public, 2-year",2998.0,3857.0,6855.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,1,0,1,1,0,0,0,1,1,1
6896,235237002,Pierce College at Fort Steilacoom,"Pierce College at Joint Base Lewis-McChord, Army",WA,"Public, 2-year",2998.0,3857.0,6855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6897,235237003,Pierce College at Fort Steilacoom,"Pierce College at Joint Base Lewis-McChord, Air Force",WA,"Public, 2-year",2998.0,3857.0,6855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6898,235307001,Glen Dow Academy of Hair Design,Main Campus,WA,"Private for-profit, 2-year",7.0,151.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6900,235334001,Grays Harbor College,Main Campus,WA,"Public, 2-year",991.0,975.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,1
6901,235334002,Grays Harbor College,Riverview Education Center,WA,"Public, 2-year",991.0,975.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6902,235334003,Grays Harbor College,Columbia Education Center,WA,"Public, 2-year",991.0,975.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6903,235334004,Grays Harbor College,Whiteside Education Center,WA,"Public, 2-year",991.0,975.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
6904,235343001,Green River Community College,Main Campus,WA,"Public, 2-year",3752.0,3957.0,7709.0,0.0,0.0,0.0,0.0,2.0,3.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,16.0,0.0,0,0,0,0,0,1,7,2,0,1,1,1
6905,235352001,Toni & Guy Hairdressing Academy-Shoreline,Main Campus,WA,"Private for-profit, less-than 2-year",9.0,73.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1
